Player,Position,Team,College
Channing Tindall,Linebacker,Miami Dolphins,Georgia
Sedrick Van Pran-Granger,Center,Buffalo Bills,Georgia
Herschel Walker,Fullback,Dallas Cowboys,Georgia
Quay Walker,Linebacker,Green Bay Packers,Georgia
Travon Walker,Defensive End,Jacksonville Jaguars,Georgia
Darnell Washington,Tight End,Pittsburgh Steelers,Georgia
Charlie Woerner,Tight End,Atlanta Falcons,Georgia
Devonte Wyatt,Defensive Tackle,Green Bay Packers,Georgia
Isaiah Wynn,Offensive Tackle,Miami Dolphins,Georgia
Darrell Baker Jr.,Cornerback,Tennessee Titans,Georgia Southern
Shemar Bartholomew,Cornerback,Carolina Panthers,Georgia Southern
Tyler Bass,Place kicker,Buffalo Bills,Georgia Southern
Kindle Vildor,Cornerback,Detroit Lions,Georgia Southern
Travis Glover,Offensive Tackle,Green Bay Packers,Georgia State
Wil Lutz,Place kicker,Denver Broncos,Georgia State
Harrison Butker,Place kicker,Kansas City Chiefs,Georgia Tech
